record_id,country,ISO_A3,ISO_A2,city,province
R_1gShvNnZtOkb4X1NA,Bahrain,BHR,BH,,
R_3GrLmE8y71iEe17NA,Barbados,BRB,BB,,
R_1Hi5XBHB1zBOJc7NA,Canada,CAN,CA,,
R_3EQBDJGMTKwowKOAq,China,CHN,CN,,
R_1OoGDBSpbZQ02oANA,China,CHN,CN,Xi'an,Shaanxi
R_3j8nyNRePoxoLrQAj,China,CHN,CN,,
R_2YWyUcctdN6v06LNA,China,CHN,CN,,
R_30j9tBDjjkonFQwBs,China,CHN,CN,Wuhan,Hubei
R_21zXeeBlR4NUs9ONA,Guatemala,GTM,GT,,
R_3FXxpG5dRRXSUpoNA,Guatemala,GTM,GT,,
R_3MlopU5g8ZFdEIkNA,Guatemala,GTM,GT,,
R_2eRbd7ja0xqNMe2NA,Italy,ITA,IT,,
R_BW0pBgypP0DnmFPBd,Russia,RUS,RU,,Moscow
R_8Jryr67Qa5FX5ElBd,Singapore,SGP,SG,,
R_2YyAjfoqlhxBUQPNA,Singapore,SGP,SG,,
R_3qfIm2ISlDxieDxNA,Singapore,SGP,SG,,
R_1pKgCMPRTq0rQ4uNA,South Korea,KOR,KR,,
R_um5VvunoibLSd3zNA,Thailand,THA,TH,,
R_wMo9AvOUtpSDJXHNA,Thailand,THA,TH,,
R_2xR81gRRCRSKiMENA,The Bahamas,BHS,BS,,
R_1QfG9vW0iJ3zBQYNA,Tunisia,TUN,TN,,
R_3esqFartqW7dUuONA,Tunisia,TUN,TN,,
R_3Dw6n8PxOkIjfv3NA,Tunisia,TUN,TN,,
R_1CHB3dtQWu4Pm1oNA,Tunisia,TUN,TN,,
R_4IUt4NqEPJWSAExNA,Tunisia,TUN,TN,,
R_3iz3wDydutQmcLgNA,United Kingdom,GBR,GB,,
R_3I9x0DQ8VYXqyIcNA,United States of America,USA,US,,Washington
R_eyT6hNyyH2jwxhvBd,Zimbabwe,ZWE,ZW,,
R_2UhAWZ3iq145gjDNA,Australia,AUS,AU,,
R_3ikd82Z7h9e4x4WNA,Brazil,BRA,BR,,Rio Grande do Sul
R_UfGeS7UD1Td1M8pNA,China,CHN,CN,Xiantao,Hubei
R_1PXg4G2t2qplAH0NA,China,CHN,CN,Huanggang,Hubei
R_31sYmacQX4E1jcKBg,China,CHN,CN,,Henan
R_u7zGz9eSn2U3o8VNA,China,CHN,CN,Xiantao,Hubei
R_tEAb5HVVLZcZze9Bg,China,CHN,CN,Wuhan,Hubei
R_1I4X34BRzkkYYhyNA,China,CHN,CN,,Beijing
R_3J2wZ9mmbiGvshTNA,China,CHN,CN,Xiantao,Hubei
