record_id,Ministry/Department of Justice,National Government,Provincial/State Government,New Task Force,Municipal Government,Other,Police,Ministry/Department of Foreign Affairs,Military,Ministry/Department of Health
R_1gShvNnZtOkb4X1NA,False,True,False,False,False,False,False,False,False,True
R_3GrLmE8y71iEe17NA,False,False,False,False,False,False,False,False,False,True
R_1Hi5XBHB1zBOJc7NA,False,True,False,False,False,False,False,False,False,False
R_3EQBDJGMTKwowKOAq,False,True,True,False,True,True,False,False,False,True
R_1OoGDBSpbZQ02oANA,False,False,False,False,True,False,False,False,False,False
R_3j8nyNRePoxoLrQAj,False,True,True,False,True,True,False,False,False,True
R_2YWyUcctdN6v06LNA,False,True,False,False,False,True,False,False,False,True
R_30j9tBDjjkonFQwBs,False,False,False,False,True,False,False,False,False,False
R_21zXeeBlR4NUs9ONA,False,False,False,False,False,False,False,False,False,True
R_3FXxpG5dRRXSUpoNA,False,False,False,False,False,False,False,False,False,True
R_3MlopU5g8ZFdEIkNA,False,False,False,False,False,False,False,False,False,True
R_2eRbd7ja0xqNMe2NA,False,False,False,False,False,False,False,False,False,True
R_BW0pBgypP0DnmFPBd,False,False,True,False,True,False,False,False,False,True
R_8Jryr67Qa5FX5ElBd,False,False,False,False,False,False,False,False,False,True
R_2YyAjfoqlhxBUQPNA,False,False,False,False,False,False,False,False,False,True
R_3qfIm2ISlDxieDxNA,False,False,False,False,False,False,False,False,False,True
R_1pKgCMPRTq0rQ4uNA,False,False,False,False,True,False,False,False,False,False
R_um5VvunoibLSd3zNA,False,False,False,False,False,False,False,False,False,True
R_wMo9AvOUtpSDJXHNA,False,False,False,False,False,False,False,False,False,True
R_2xR81gRRCRSKiMENA,False,False,False,False,False,True,False,False,False,True
R_1QfG9vW0iJ3zBQYNA,False,False,False,False,False,True,False,False,False,True
R_3esqFartqW7dUuONA,False,True,False,False,False,False,False,False,False,True
R_3Dw6n8PxOkIjfv3NA,False,False,False,False,False,True,False,False,False,False
R_1CHB3dtQWu4Pm1oNA,False,False,False,False,False,False,False,False,False,True
R_4IUt4NqEPJWSAExNA,False,True,False,False,False,False,False,False,False,True
R_3iz3wDydutQmcLgNA,False,True,False,False,False,False,False,False,False,False
R_3I9x0DQ8VYXqyIcNA,False,False,False,False,False,False,False,False,False,True
R_eyT6hNyyH2jwxhvBd,False,True,False,False,False,False,False,False,False,False
R_2UhAWZ3iq145gjDNA,False,True,False,False,False,True,False,False,False,True
R_3ikd82Z7h9e4x4WNA,False,False,True,False,False,False,False,False,False,True
R_UfGeS7UD1Td1M8pNA,False,False,False,False,True,False,False,False,False,False
R_1PXg4G2t2qplAH0NA,False,False,False,False,True,False,False,False,False,False
R_31sYmacQX4E1jcKBg,False,False,True,False,False,False,False,False,False,True
R_u7zGz9eSn2U3o8VNA,False,False,False,False,True,False,False,False,False,False
R_tEAb5HVVLZcZze9Bg,False,True,True,False,True,False,False,False,False,True
R_1I4X34BRzkkYYhyNA,False,False,True,False,False,False,False,False,False,False
R_3J2wZ9mmbiGvshTNA,False,False,False,False,True,False,False,False,False,False
R_1LTqZ3E80jdR3zPNA,False,True,False,False,False,True,False,False,False,False
R_3MAuzskKblEjEbeCt,False,False,True,False,False,True,False,False,False,False
R_3MAuzskKblEjEbeCu,False,False,True,False,False,True,False,False,False,False
R_3MAuzskKblEjEbeDp,False,False,True,False,False,True,False,False,False,False
R_3MAuzskKblEjEbeBf,False,False,True,False,False,True,False,False,False,False
R_21HD5R0qHmRFDnqDi,False,False,False,False,True,False,False,False,False,False
R_21HD5R0qHmRFDnqBw,False,False,False,False,True,False,False,False,False,False
R_W0yWym6nAvhfUKRNA,False,False,True,False,False,False,False,False,False,False
R_1gLsYPrtyYDeXJnNA,False,True,False,False,False,False,False,False,False,True
R_2rNEKtD9QFeWwOHNA,False,False,True,False,False,False,False,False,False,False
R_3mdxr6n8Kr2mUvsBw,False,False,True,False,False,False,False,False,False,False
R_DNxSmpzqbrICq8FBg,False,False,True,False,False,False,False,False,False,True
R_8vHG9nuSSEa6uJzNA,False,True,True,False,True,False,True,False,False,True
R_3fIaowgDVS1UrTBNA,False,False,False,False,True,False,False,False,False,False
R_U9H979uKjvYvLFvNA,False,False,False,False,True,False,False,False,False,False
R_2cjgYQwAl1Qox9eCj,False,False,True,False,False,False,False,False,False,False
R_PRistaIOBfS2UIVAq,False,True,True,False,True,True,False,False,False,True
R_1BQ3q3YXcWqoTQeNA,False,False,True,False,False,False,False,False,False,False
R_2YGlMoOc5trR7NONA,False,True,True,False,True,False,False,False,False,True
R_1Q6f36X74E1pfsFBs,False,True,False,False,False,False,False,False,False,True
R_1rkzMNPPMxBLzHyNA,False,False,False,False,True,False,False,False,False,False
R_3JIu4kP9ze2puxaNA,False,False,True,False,False,False,False,False,False,False
R_12ceesZOdDYK2taDq,False,False,True,True,False,False,False,False,False,False
R_dd9AyFUQMUpDMGJNA,False,False,True,False,False,False,False,False,False,False
R_3NIiPuEVN0puCErNA,False,False,True,False,False,False,False,False,False,False
R_338cNtzauCe9vtzBs,False,False,False,False,False,True,False,False,False,False
R_338cNtzauCe9vtzCp,False,False,False,False,False,True,False,False,False,False
R_10GzO60D7ucfXQJNA,False,False,False,False,False,False,False,False,False,True
R_3HUkvCrlVlONdVXNA,False,True,False,False,False,True,False,False,False,True
R_9WyPxqM0RcMlz3jBd,False,True,False,False,False,False,False,False,False,False
R_1DU37006s5a2x1yNA,False,True,False,False,False,False,False,False,False,False
R_3je4Hy9Nty9TFAfBd,False,True,False,False,False,False,False,False,False,False
R_24jh3ckUsmUzBPcNA,False,True,False,False,False,False,False,False,False,False
R_DphU6WmumrjgfXrBd,False,True,False,False,False,False,False,False,False,False
R_301AUQYxsAIE9nPNA,False,True,False,False,False,True,False,False,False,True
R_3F4gR4BAIyDkIBqNA,False,False,False,False,False,True,False,False,False,False
R_An5KK1dp5swLSjTNA,False,False,False,False,False,False,False,False,False,True
R_2tDaHG3oI4yJ2ZNNA,False,False,False,False,True,False,False,False,False,False
R_1KrKioow7PT8B4INA,False,True,False,False,False,True,False,False,False,False
R_1BRSjaZSnXomRY6NA,False,True,False,False,False,False,False,False,False,True
R_2qz8QJTGb7eUfJSBd,False,False,True,False,False,False,False,False,False,False
R_3qgPk50ZjPolTwcNA,False,True,False,False,False,True,False,False,False,True
R_6xmbSctmqkjMA4VAq,False,False,False,False,False,False,False,False,False,True
R_3hu5zOykfMZBf76NA,False,False,False,False,False,True,False,False,False,False
