,PolicyCount
ABW,0
AFG,64
AGO,136
AIA,0
ALB,29
AND,22
ARE,205
ARG,65
ARM,71
ATG,54
AUS,261
AUT,179
AZE,229
BDI,37
BEL,26
BEN,97
BES,0
BFA,34
BGD,288
BGR,48
BHR,152
BHS,51
BIH,76
BLR,85
BLZ,117
BMU,0
BOL,144
BRA,804
BRB,36
BRN,91
BTN,36
BWA,67
CAF,12
CAN,635
CHE,1210
CHL,195
CHN,714
CIV,114
CMR,84
COD,23
COG,23
COL,113
COM,17
CPV,14
CRI,102
CUB,48
CUW,0
CYM,0
CYP,92
CZE,122
DEU,1359
DJI,33
DMA,18
DNK,55
DOM,126
DZA,292
ECU,35
EGY,162
ERI,55
ESH,0
ESP,378
EST,96
ETH,149
FIN,201
FJI,38
FLK,0
FRA,188
FRO,0
GAB,46
GBR,146
GEO,93
GGY,0
GHA,40
GIB,0
GIN,12
GMB,73
GNB,37
GNQ,30
GRC,54
GRD,163
GRL,0
GTM,289
GUM,0
GUY,90
HKG,0
HND,169
HRV,92
HTI,50
HUN,109
IDN,744
IMN,0
IND,407
IRL,130
IRN,60
IRQ,134
ISL,77
ISR,264
ITA,273
JAM,76
JEY,0
JOR,36
JPN,941
KAZ,290
KEN,94
KGZ,104
KHM,16
KNA,59
KOR,69
KWT,61
LAO,61
LBN,245
LBR,15
LBY,58
LCA,8
LIE,96
LKA,84
LSO,32
LTU,35
LUX,47
LVA,64
MAR,80
MCO,44
MDA,88
MDG,39
MDV,23
MEX,250
MKD,18
MLI,35
MLT,32
MMR,234
MNE,12
MNG,60
MNP,0
MOZ,15
MRT,42
MSR,0
MUS,33
MWI,19
MYS,11
NAM,22
NCL,0
NER,29
NGA,895
NIC,43
NLD,98
NOR,134
NPL,78
NZL,231
OMN,197
PAK,174
PAN,106
PER,40
PHL,32
PNG,90
POL,95
PRI,0
PRT,105
PRY,32
PSE,73
PYF,0
QAT,240
ROU,77
RUS,3472
RWA,77
SAU,150
SDN,19
SEN,14
SGP,192
SLE,12
SLV,65
SMR,93
SOM,18
SRB,19
SSD,40
STP,30
SUR,38
SVK,47
SVN,66
SWE,108
SWZ,56
SXM,0
SYC,59
SYR,12
TCA,0
TCD,135
TGO,32
THA,156
TJK,64
TLS,87
TTO,84
TUN,82
TUR,118
TWN,138
TZA,40
UGA,29
UKR,86
URY,27
USA,4122
UZB,204
VAT,50
VCT,54
VEN,45
VGB,0
VIR,0
VNM,48
OWID_KOS,0
YEM,28
ZAF,119
ZMB,25
ZWE,77
OWID_WRL,0
,0
